material	Soft Tissue
rho	1.00E+00
keV	ra/rho	cs/rho	pe/rho
40	2.761E-02	1.811E-01	5.217E-02
50	1.859E-02	1.787E-01	2.502E-02
60	1.336E-02	1.754E-01	1.370E-02
70	1.005E-02	1.718E-01	8.229E-03
80	7.829E-03	1.682E-01	5.292E-03
90	6.267E-03	1.646E-01	3.586E-03
100	5.127E-03	1.611E-01	2.533E-03
110	4.270E-03	1.578E-01	1.850E-03
120	3.610E-03	1.546E-01	1.390E-03
130	3.091E-03	1.516E-01	1.069E-03
140	2.676E-03	1.487E-01	8.387E-04
150	2.339E-03	1.460E-01	6.697E-04
160	2.061E-03	1.433E-01	5.429E-04
170	1.830E-03	1.409E-01	4.460E-04
180	1.635E-03	1.385E-01	3.709E-04
190	1.470E-03	1.362E-01	3.117E-04
200	1.329E-03	1.341E-01	2.645E-04
